class,ruletype_longname,ruletype_shortname,"linguistic pattern","order of arguments",patterntype,subject,predicate,object,condAB,condBA,supA,supB,supAB,AllConf,Coherence,Cosine,IR,Kulczynski,MaxConf,string
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o","an English",,2-gram,http://dbpedia.org/resource/Lamp_in_the_Desert,http://dbpedia.org/ontology/starring,,1,0.111111111111111,2,18,2,0.111111111111111,0.1,0.333333333333333,0.888888888888889,0.555555555555556,1,"dbo:Actor in c_e and (dbr:Lamp_in_the_Desert, dbo:starring, e) in G => 'an English' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o","was an English",,3-gram,http://dbpedia.org/resource/Lamp_in_the_Desert,http://dbpedia.org/ontology/starring,,1,0.2,2,10,2,0.2,0.166666666666667,0.447213595499958,0.8,0.6,1,"dbo:Actor in c_e and (dbr:Lamp_in_the_Desert, dbo:starring, e) in G => 'was an English' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o",English,,1-gram,http://dbpedia.org/resource/Lamp_in_the_Desert,http://dbpedia.org/ontology/starring,,1,0.105263157894737,2,19,2,0.105263157894737,0.0952380952380952,0.324442842261525,0.894736842105263,0.552631578947368,1,"dbo:Actor in c_e and (dbr:Lamp_in_the_Desert, dbo:starring, e) in G => 'English' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o",actress,,1-gram,http://dbpedia.org/resource/Megamaths,http://dbpedia.org/property/starring,,1,0.0425531914893617,2,47,2,0.0425531914893617,0.0408163265306122,0.206284249251759,0.957446808510638,0.521276595744681,1,"dbo:Actor in c_e and (dbr:Megamaths, dbp:starring, e) in G => 'actress' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o",actress,,1-gram,http://dbpedia.org/resource/Megamaths,http://dbpedia.org/ontology/starring,,1,0.0425531914893617,2,47,2,0.0425531914893617,0.0408163265306122,0.206284249251759,0.957446808510638,0.521276595744681,1,"dbo:Actor in c_e and (dbr:Megamaths, dbo:starring, e) in G => 'actress' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o","best known for",,3-gram,http://dbpedia.org/resource/Vulkon_Entertainment,http://dbpedia.org/property/guests,,1,0.181818181818182,2,11,2,0.181818181818182,0.153846153846154,0.426401432711221,0.818181818181818,0.590909090909091,1,"dbo:Actor in c_e and (dbr:Vulkon_Entertainment, dbp:guests, e) in G => 'best known for' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o","known for",,2-gram,http://dbpedia.org/resource/Vulkon_Entertainment,http://dbpedia.org/property/guests,,1,0.117647058823529,2,17,2,0.117647058823529,0.105263157894737,0.342997170285018,0.882352941176471,0.558823529411765,1,"dbo:Actor in c_e and (dbr:Vulkon_Entertainment, dbp:guests, e) in G => 'known for' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o","best known",,2-gram,http://dbpedia.org/resource/Vulkon_Entertainment,http://dbpedia.org/property/guests,,1,0.153846153846154,2,13,2,0.153846153846154,0.133333333333333,0.392232270276368,0.846153846153846,0.576923076923077,1,"dbo:Actor in c_e and (dbr:Vulkon_Entertainment, dbp:guests, e) in G => 'best known' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o",best,,1-gram,http://dbpedia.org/resource/Vulkon_Entertainment,http://dbpedia.org/property/guests,,1,0.142857142857143,2,14,2,0.142857142857143,0.125,0.377964473009227,0.857142857142857,0.571428571428571,1,"dbo:Actor in c_e and (dbr:Vulkon_Entertainment, dbp:guests, e) in G => 'best' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o",born,,1-gram,http://dbpedia.org/resource/Vulkon_Entertainment,http://dbpedia.org/property/guests,,1,0.0377358490566038,2,53,2,0.0377358490566038,0.0363636363636364,0.194257172471453,0.962264150943396,0.518867924528302,1,"dbo:Actor in c_e and (dbr:Vulkon_Entertainment, dbp:guests, e) in G => 'born' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o",role,,1-gram,http://dbpedia.org/resource/Vulkon_Entertainment,http://dbpedia.org/property/guests,,1,0.125,2,16,2,0.125,0.111111111111111,0.353553390593274,0.875,0.5625,1,"dbo:Actor in c_e and (dbr:Vulkon_Entertainment, dbp:guests, e) in G => 'role' in l_e"
http://dbpedia.org/ontology/Actor,predict_l_for_o_given_sp,"c_o,sp => l_o",known,,1-gram,http://dbpedia.org/resource/Vulkon_Entertainment,http://dbpedia.org/property/guests,,1,0.0909090909090909,2,22,2,0.0909090909090909,0.0833333333333333,0.301511344577764,0.909090909090909,0.545454545454545,1,"dbo:Actor in c_e and (dbr:Vulkon_Entertainment, dbp:guests, e) in G => 'known' in l_e"
