class,ruletype_longname,ruletype_shortname,"linguistic pattern","order of arguments",patterntype,subject,predicate,object,condAB,condBA,supA,supB,supAB,AllConf,Coherence,Cosine,IR,Kulczynski,MaxConf,string
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","Japanese actor",,2-gram,,http://dbpedia.org/ontology/height,,0.4,1,5,2,2,0.4,0.285714285714286,0.632455532033676,0.6,0.7,1,"dbo:Actor in c_e and 'Japanese actor' in l_e => exists o : (e, dbo:height, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","a Japanese",,2-gram,,http://dbpedia.org/ontology/height,,0.222222222222222,1,9,2,2,0.222222222222222,0.181818181818182,0.471404520791032,0.777777777777778,0.611111111111111,1,"dbo:Actor in c_e and 'a Japanese' in l_e => exists o : (e, dbo:height, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","actor and",,2-gram,,http://dbpedia.org/ontology/height,,0.2,1,10,2,2,0.2,0.166666666666667,0.447213595499958,0.8,0.6,1,"dbo:Actor in c_e and 'actor and' in l_e => exists o : (e, dbo:height, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","a Japanese actor",,3-gram,,http://dbpedia.org/ontology/height,,0.4,1,5,2,2,0.4,0.285714285714286,0.632455532033676,0.6,0.7,1,"dbo:Actor in c_e and 'a Japanese actor' in l_e => exists o : (e, dbo:height, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","is a Japanese",,3-gram,,http://dbpedia.org/ontology/height,,0.333333333333333,1,6,2,2,0.333333333333333,0.25,0.577350269189626,0.666666666666667,0.666666666666667,1,"dbo:Actor in c_e and 'is a Japanese' in l_e => exists o : (e, dbo:height, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",actor,,1-gram,,http://dbpedia.org/ontology/height,,0.0357142857142857,1,56,2,2,0.0357142857142857,0.0344827586206897,0.188982236504614,0.964285714285714,0.517857142857143,1,"dbo:Actor in c_e and 'actor' in l_e => exists o : (e, dbo:height, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",born,,1-gram,,http://dbpedia.org/ontology/height,,0.0377358490566038,1,53,2,2,0.0377358490566038,0.0363636363636364,0.194257172471453,0.962264150943396,0.518867924528302,1,"dbo:Actor in c_e and 'born' in l_e => exists o : (e, dbo:height, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",Japanese,,1-gram,,http://dbpedia.org/ontology/height,,0.181818181818182,1,11,2,2,0.181818181818182,0.153846153846154,0.426401432711221,0.818181818181818,0.590909090909091,1,"dbo:Actor in c_e and 'Japanese' in l_e => exists o : (e, dbo:height, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","a Japanese",,2-gram,,http://dbpedia.org/property/nativeName,,0.222222222222222,1,9,2,2,0.222222222222222,0.181818181818182,0.471404520791032,0.777777777777778,0.611111111111111,1,"dbo:Actor in c_e and 'a Japanese' in l_e => exists o : (e, dbp:nativeName, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","Japanese actor",,2-gram,,http://dbpedia.org/property/nativeName,,0.4,1,5,2,2,0.4,0.285714285714286,0.632455532033676,0.6,0.7,1,"dbo:Actor in c_e and 'Japanese actor' in l_e => exists o : (e, dbp:nativeName, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","actor and",,2-gram,,http://dbpedia.org/property/nativeName,,0.2,1,10,2,2,0.2,0.166666666666667,0.447213595499958,0.8,0.6,1,"dbo:Actor in c_e and 'actor and' in l_e => exists o : (e, dbp:nativeName, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","a Japanese actor",,3-gram,,http://dbpedia.org/property/nativeName,,0.4,1,5,2,2,0.4,0.285714285714286,0.632455532033676,0.6,0.7,1,"dbo:Actor in c_e and 'a Japanese actor' in l_e => exists o : (e, dbp:nativeName, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","is a Japanese",,3-gram,,http://dbpedia.org/property/nativeName,,0.333333333333333,1,6,2,2,0.333333333333333,0.25,0.577350269189626,0.666666666666667,0.666666666666667,1,"dbo:Actor in c_e and 'is a Japanese' in l_e => exists o : (e, dbp:nativeName, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",Japanese,,1-gram,,http://dbpedia.org/property/nativeName,,0.181818181818182,1,11,2,2,0.181818181818182,0.153846153846154,0.426401432711221,0.818181818181818,0.590909090909091,1,"dbo:Actor in c_e and 'Japanese' in l_e => exists o : (e, dbp:nativeName, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",born,,1-gram,,http://dbpedia.org/property/nativeName,,0.0377358490566038,1,53,2,2,0.0377358490566038,0.0363636363636364,0.194257172471453,0.962264150943396,0.518867924528302,1,"dbo:Actor in c_e and 'born' in l_e => exists o : (e, dbp:nativeName, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",actor,,1-gram,,http://dbpedia.org/property/nativeName,,0.0357142857142857,1,56,2,2,0.0357142857142857,0.0344827586206897,0.188982236504614,0.964285714285714,0.517857142857143,1,"dbo:Actor in c_e and 'actor' in l_e => exists o : (e, dbp:nativeName, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",series,,1-gram,,http://dbpedia.org/property/children,,0.166666666666667,0.666666666666667,12,3,2,0.166666666666667,0.133333333333333,0.333333333333333,0.692307692307692,0.416666666666667,0.666666666666667,"dbo:Actor in c_e and 'series' in l_e => exists o : (e, dbp:children, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",born,,1-gram,,http://dbpedia.org/property/children,,0.0566037735849057,1,53,3,3,0.0566037735849057,0.0535714285714286,0.237915475715443,0.943396226415094,0.528301886792453,1,"dbo:Actor in c_e and 'born' in l_e => exists o : (e, dbp:children, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",actress,,1-gram,,http://dbpedia.org/property/children,,0.0425531914893617,0.666666666666667,47,3,2,0.0425531914893617,0.04,0.168430384213304,0.916666666666667,0.354609929078014,0.666666666666667,"dbo:Actor in c_e and 'actress' in l_e => exists o : (e, dbp:children, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","film and",,2-gram,,http://dbpedia.org/ontology/alias,,0.4,0.666666666666667,5,3,2,0.4,0.25,0.516397779494322,0.333333333333333,0.533333333333333,0.666666666666667,"dbo:Actor in c_e and 'film and' in l_e => exists o : (e, dbo:alias, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","a Swedish",,2-gram,,http://dbpedia.org/ontology/alias,,0.105263157894737,0.666666666666667,19,3,2,0.105263157894737,0.0909090909090909,0.264906471413009,0.8,0.385964912280702,0.666666666666667,"dbo:Actor in c_e and 'a Swedish' in l_e => exists o : (e, dbo:alias, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",married,,1-gram,,http://dbpedia.org/ontology/alias,,0.222222222222222,0.666666666666667,9,3,2,0.222222222222222,0.166666666666667,0.384900179459751,0.6,0.444444444444444,0.666666666666667,"dbo:Actor in c_e and 'married' in l_e => exists o : (e, dbo:alias, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",actor,,1-gram,,http://dbpedia.org/ontology/alias,,0.0357142857142857,0.666666666666667,56,3,2,0.0357142857142857,0.0338983050847458,0.154303349962092,0.929824561403509,0.351190476190476,0.666666666666667,"dbo:Actor in c_e and 'actor' in l_e => exists o : (e, dbo:alias, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",film,,1-gram,,http://dbpedia.org/ontology/alias,,0.0526315789473684,0.666666666666667,38,3,2,0.0526315789473684,0.0487804878048781,0.187317162316339,0.897435897435897,0.359649122807018,0.666666666666667,"dbo:Actor in c_e and 'film' in l_e => exists o : (e, dbo:alias, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",Swedish,,1-gram,,http://dbpedia.org/ontology/alias,,0.105263157894737,0.666666666666667,19,3,2,0.105263157894737,0.0909090909090909,0.264906471413009,0.8,0.385964912280702,0.666666666666667,"dbo:Actor in c_e and 'Swedish' in l_e => exists o : (e, dbo:alias, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","a Swedish",,2-gram,,http://dbpedia.org/ontology/partner,,0.105263157894737,1,19,2,2,0.105263157894737,0.0952380952380952,0.324442842261525,0.894736842105263,0.552631578947368,1,"dbo:Actor in c_e and 'a Swedish' in l_e => exists o : (e, dbo:partner, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","is a Swedish",,3-gram,,http://dbpedia.org/ontology/partner,,0.222222222222222,1,9,2,2,0.222222222222222,0.181818181818182,0.471404520791032,0.777777777777778,0.611111111111111,1,"dbo:Actor in c_e and 'is a Swedish' in l_e => exists o : (e, dbo:partner, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",Swedish,,1-gram,,http://dbpedia.org/ontology/partner,,0.105263157894737,1,19,2,2,0.105263157894737,0.0952380952380952,0.324442842261525,0.894736842105263,0.552631578947368,1,"dbo:Actor in c_e and 'Swedish' in l_e => exists o : (e, dbo:partner, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",June,,1-gram,,http://dbpedia.org/ontology/partner,,0.222222222222222,1,9,2,2,0.222222222222222,0.181818181818182,0.471404520791032,0.777777777777778,0.611111111111111,1,"dbo:Actor in c_e and 'June' in l_e => exists o : (e, dbo:partner, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p",born,,1-gram,,http://dbpedia.org/ontology/partner,,0.0377358490566038,1,53,2,2,0.0377358490566038,0.0363636363636364,0.194257172471453,0.962264150943396,0.518867924528302,1,"dbo:Actor in c_e and 'born' in l_e => exists o : (e, dbo:partner, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","stage and film actress",,4-gram,,http://dbpedia.org/property/caption,,0.25,0.142857142857143,8,14,2,0.142857142857143,0.0909090909090909,0.188982236504614,0.3,0.196428571428571,0.25,"dbo:Actor in c_e and 'stage and film actress' in l_e => exists o : (e, dbp:caption, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","film actress",,2-gram,,http://dbpedia.org/property/caption,,0.333333333333333,0.214285714285714,9,14,3,0.214285714285714,0.130434782608696,0.267261241912424,0.25,0.273809523809524,0.333333333333333,"dbo:Actor in c_e and 'film actress' in l_e => exists o : (e, dbp:caption, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","stage and",,2-gram,,http://dbpedia.org/property/caption,,0.142857142857143,0.142857142857143,14,14,2,0.142857142857143,0.0714285714285714,0.142857142857143,0,0.142857142857143,0.142857142857143,"dbo:Actor in c_e and 'stage and' in l_e => exists o : (e, dbp:caption, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","a French",,2-gram,,http://dbpedia.org/property/caption,,0.133333333333333,0.142857142857143,15,14,2,0.133333333333333,0.0689655172413793,0.138013111868471,0.037037037037037,0.138095238095238,0.142857142857143,"dbo:Actor in c_e and 'a French' in l_e => exists o : (e, dbp:caption, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","a Swedish",,2-gram,,http://dbpedia.org/property/caption,,0.157894736842105,0.214285714285714,19,14,3,0.157894736842105,0.0909090909090909,0.18394180184549,0.166666666666667,0.18609022556391,0.214285714285714,"dbo:Actor in c_e and 'a Swedish' in l_e => exists o : (e, dbp:caption, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","known for",,2-gram,,http://dbpedia.org/property/caption,,0.176470588235294,0.214285714285714,17,14,3,0.176470588235294,0.0967741935483871,0.194461117065649,0.107142857142857,0.195378151260504,0.214285714285714,"dbo:Actor in c_e and 'known for' in l_e => exists o : (e, dbp:caption, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","a British",,2-gram,,http://dbpedia.org/property/caption,,0.181818181818182,0.285714285714286,22,14,4,0.181818181818182,0.111111111111111,0.227921152919276,0.25,0.233766233766234,0.285714285714286,"dbo:Actor in c_e and 'a British' in l_e => exists o : (e, dbp:caption, o) in G"
http://dbpedia.org/ontology/Actor,predict_p_for_s_given_l,"c_s,l_s => p","and film",,2-gram,,http://dbpedia.org/property/caption,,0.2,0.214285714285714,15,14,3,0.2,0.103448275862069,0.207019667802706,0.0384615384615384,0.207142857142857,0.214285714285714,"dbo:Actor in c_e and 'and film' in l_e => exists o : (e, dbp:caption, o) in G"
