class,ruletype_longname,ruletype_shortname,"linguistic pattern","order of arguments",patterntype,subject,predicate,object,condAB,condBA,supA,supB,supAB,AllConf,Coherence,Cosine,IR,Kulczynski,MaxConf,string
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",best,,1-gram,,,http://dbpedia.org/resource/London,0.142857142857143,0.2,14,10,2,0.142857142857143,0.0833333333333333,0.169030850945703,0.181818181818182,0.171428571428571,0.2,"dbo:Actor in c_e and 'best' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",October,,1-gram,,,http://dbpedia.org/resource/London,0.285714285714286,0.2,7,10,2,0.2,0.117647058823529,0.239045721866879,0.2,0.242857142857143,0.285714285714286,"dbo:Actor in c_e and 'October' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",died,,1-gram,,,http://dbpedia.org/resource/London,0.2,0.3,15,10,3,0.2,0.12,0.244948974278318,0.227272727272727,0.25,0.3,"dbo:Actor in c_e and 'died' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",English,,1-gram,,,http://dbpedia.org/resource/London,0.263157894736842,0.5,19,10,5,0.263157894736842,0.172413793103448,0.362738125055006,0.375,0.381578947368421,0.5,"dbo:Actor in c_e and 'English' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",series,,1-gram,,,http://dbpedia.org/resource/London,0.25,0.3,12,10,3,0.25,0.136363636363636,0.273861278752583,0.105263157894737,0.275,0.3,"dbo:Actor in c_e and 'series' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",role,,1-gram,,,http://dbpedia.org/resource/London,0.125,0.2,16,10,2,0.125,0.0769230769230769,0.158113883008419,0.25,0.1625,0.2,"dbo:Actor in c_e and 'role' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",television,,1-gram,,,http://dbpedia.org/resource/London,0.25,0.3,12,10,3,0.25,0.136363636363636,0.273861278752583,0.105263157894737,0.275,0.3,"dbo:Actor in c_e and 'television' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",actor,,1-gram,,,http://dbpedia.org/resource/London,0.0892857142857143,0.5,56,10,5,0.0892857142857143,0.0757575757575758,0.211288563682129,0.754098360655738,0.294642857142857,0.5,"dbo:Actor in c_e and 'actor' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",roles,,1-gram,,,http://dbpedia.org/resource/London,0.285714285714286,0.4,14,10,4,0.285714285714286,0.166666666666667,0.338061701891407,0.2,0.342857142857143,0.4,"dbo:Actor in c_e and 'roles' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",appeared,,1-gram,,,http://dbpedia.org/resource/London,0.115384615384615,0.3,26,10,3,0.115384615384615,0.0833333333333333,0.186052101883813,0.484848484848485,0.207692307692308,0.3,"dbo:Actor in c_e and 'appeared' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",British,,1-gram,,,http://dbpedia.org/resource/London,0.16,0.4,25,10,4,0.16,0.114285714285714,0.25298221281347,0.483870967741935,0.28,0.4,"dbo:Actor in c_e and 'British' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",Theatre,,1-gram,,,http://dbpedia.org/resource/London,0.181818181818182,0.2,11,10,2,0.181818181818182,0.0952380952380952,0.190692517849118,0.0526315789473684,0.190909090909091,0.2,"dbo:Actor in c_e and 'Theatre' in l_e => exists p : (e, p, dbr:London) in G"
http://dbpedia.org/ontology/Actor,predict_o_for_s_given_l,"c_s,l_s => o",stage,,1-gram,,,http://dbpedia.org/resource/London,0.192307692307692,0.5,26,10,5,0.192307692307692,0.138888888888889,0.310086836473021,0.516129032258065,0.346153846153846,0.5,"dbo:Actor in c_e and 'stage' in l_e => exists p : (e, p, dbr:London) in G"
